"AU","TI","SO","PY","DE","AB"
"ELY E","DIVERSITY, EQUITY & INCLUSION STATEMENTS ON ACADEMIC LIBRARY WEBSITES AN ANALYSIS OF CONTENT, COMMUNICATION, AND MESSAGING","INFORMATION TECHNOLOGY AND LIBRARIES",2021,NA,"POST-SECONDARY EDUCATION IN THE 21ST CENTURY UNITED STATES IS RAPIDLY DIVERSIFYING, AND INSTITUTIONS' ONLINE OFFERINGS AND PRESENCE ARE INCREASINGLY SIGNIFICANT. ACADEMIC LIBRARIES HAVE AN ESTABLISHED HISTORY OF OFFERING VIRTUAL SERVICES AND PROVIDING ONLINE RESOURCES FOR STUDENTS, FACULTY, STAFF, AND THE GENERAL PUBLIC. IN ADDITION TO THESE SERVICES AND RESOURCES, INFORMATION ON ACADEMIC LIBRARY WEBSITES CAN CONTRIBUTE TO AN INSTITUTION'S DEMONSTRATION OF VALUE PLACED ON DIVERSITY, EQUITY, AND INCLUSION (DEI). THIS ARTICLE ANALYZES THE DEI STATEMENTS OF A LIBRARY CONSORTIUM'S MEMBER WEBSITES TO EXPLORE HOW THESE STATEMENTS CONTRIBUTE TO INSTITUTIONAL CONSTRUCTION OF, AND COMMITMENT TO, DIVERSITY, EQUITY, AND INCLUSION. DESCRIPTIVE ANALYSIS REVEALED 12 OF 16 MEMBER LIBRARIES HAD EXPLICITLY LABELED DEI STATEMENTS IN NOVEMBER 2020, WITH AN ADDITIONAL MEMBER UPDATING THEIR WEBSITE TO INCLUDE SUCH A STATEMENT IN EARLY 2021. CONTENT ANALYSIS EXAMINED HOW THE EXISTING STATEMENTS CONTRIBUTED TO INSTITUTIONAL VALUE OF AND COMMITMENT TO DEI, AND MULTI-MODAL THEORY EXPLORED THE COMMUNICATIVE ASPECTS OF DEI STATEMENT CONTENT. ANALYSIS REVEALED VAGUE CONCEPTUALIZATIONS OF DIVERSITY AND LIBRARY-CENTERED LANGUAGE IN DEI STATEMENTS, WHILE A SUBSET OF STATEMENTS EMPLOYED ANTI-RACIST AND SOCIAL JUSTICE LANGUAGE TO POSITION THE LIBRARY AS AN ACTIVE AGENT FOR SOCIAL CHANGE. IMPLICATIONS AND AVENUES FOR FUTURE RESEARCH ARE DISCUSSED."
"NIKULINA V;LINDAL JL;BAUMANN H;SIMON D;NY H","LOST IN TRANSLATION: A FRAMEWORK FOR ANALYSING COMPLEXITY OF CO-PRODUCTION SETTINGS IN RELATION TO EPISTEMIC COMMUNITIES, LINGUISTIC DIVERSITIES AND CULTURE","FUTURES",2019,"TRANSDISCIPLINARY; LINGUISTIC DIVERSITY; MULTICULTURAL; EPISTEMIC COMMUNITIES; MULTI-STAKEHOLDER DIALOGUE; URBAN PLANNING","PLANNING IN MODEM URBAN ENVIRONMENTS REQUIRES SKILLS TO ADDRESS COMPLEXITY IN ORDER TO MOVE TOWARDS SUSTAINABILITY. CO-PRODUCTION OF KNOWLEDGE IN TRANSDISCIPLINARY GROUPS REPRESENTS A USEFUL TOOL IN SUCH CONTEXTS. USING THE CONCEPTS OF EPISTEMIC COMMUNITIES, LINGUISTIC DIVERSITY AND CULTURE, THE ARTICLE PROPOSES A CONCEPTUAL FRAMEWORK FOR ANALYSING COMPLEXITY OF CO-PRODUCTION SETTINGS, AS AN INDISPENSABLE MEANS OF MANAGING COMPLEX CHALLENGES, THUS MAKING THESE COMPLEXITIES VISIBLE FOR THE PROJECT LEADER (FACILITATOR) AND THE PARTICIPANTS OF THE CO-PRODUCTION PROCESS. WE EVALUATE THE FRAMEWORK ON THE BASIS OF INCLUSIVITY, CROSS-SECTORAL UNDERSTANDING, APPLICABILITY IN DIFFERENT CONTEXTS AND TIME PERSPECTIVES. BASED ON THE FRAMEWORK, WE IDENTIFY SEVERAL ASPECTS THAT A PROCESS LEADER (FACILITATOR) WOULD NEED TO ADDRESS WHEN PREPARING FOR A COPRODUCTION PROCESS: LINGUISTIC EQUALITY BETWEEN PARTICIPANTS, DISCIPLINARY INTEGRITY, A WORKING CULTURE OF MUTUAL RESPECT, SIMULTANEOUS MITIGATION AND INFORMED FACILITATION. FINALLY, THE ARTICLE SUGGESTS POSSIBLE FUTURE RESEARCH AREAS RELATED TO DEVELOPMENT OF THE FRAMEWORK, INCLUDING (I) IDENTIFICATION OF LEVELS OF COMPLEXITY AND MAPPING SPECIFIC TOOLS TO ADDRESS COMPLEXITY AT EACH LEVEL; (II) INTEGRATION OF OTHER FACTORS OF COMPLEXITY, SUCH AS POLITICAL AND INSTITUTIONAL CONTEXTS, AS WELL AS DIVERSITY OF GENDER AND AGE IN THE FACILITATED GROUP."
"FRANKOWSKI SD","INCREASING PARTICIPATION IN PSYCHOLOGICAL SCIENCE BY USING COURSE-BASED RESEARCH PROJECTS: TESTING THEORY, USING OPEN-SCIENCE PRACTICES, AND PROFESSIONALLY PRESENTING RESEARCH","TEACHING OF PSYCHOLOGY",2022,"COURSE-BASED RESEARCH; UNDERGRADUATE RESEARCH; OPEN SCIENCE; TESTING THEORY; INCLUSIVITY","INTRODUCTION: UNDERGRADUATE RESEARCH EXPERIENCES PREPARE STUDENTS FOR GRADUATE TRAINING OR EMPLOYMENT. STATEMENT OF PROBLEM: AT MANY TEACHING-INTENSIVE UNIVERSITIES, THERE IS A GREATER DEMAND FOR RESEARCH EXPERIENCES THAN THERE ARE INDEPENDENT STUDY OPPORTUNITIES. STUDENTS FROM TYPICALLY UNDERREPRESENTED BACKGROUNDS MAY ALSO BE UNAWARE OF A DEPARTMENT'S UNDERGRADUATE RESEARCH PIPELINE OF INDEPENDENT STUDY, HONOR'S THESES, AND INTERNAL RESEARCH FUNDING. LITERATURE REVIEW: COURSE-BASED RESEARCH CONTRIBUTES TO DIVERSITY AND INCLUSIVITY IN ACCESS TO UNDERGRADUATE RESEARCH EXPERIENCES, ESPECIALLY AT TEACHING-INTENSIVE UNIVERSITIES. COURSE-BASED RESEARCH IS OFTEN INTEGRATED INTO METHODS COURSES, BUT NOT CONTENT COURSES. TEACHING IMPLICATIONS: I PRESENT PRACTICAL WAYS TO INTEGRATE RESEARCH PROJECTS INTO COURSES. I STRESS THE IMPORTANCE OF TESTING THEORY, TEACHING OPEN-SCIENCE PRACTICES, AND PROVIDING OPPORTUNITIES FOR STUDENTS TO PRESENT PROFESSIONALLY. I ALSO PROVIDE EXAMPLES OF IMPLEMENTING GROUP RESEARCH PROJECTS IN CONTENT COURSES. CONCLUSION: IMPLEMENTING COURSE-BASED RESEARCH PROJECTS, ESPECIALLY AT TEACHING-INTENSIVE UNIVERSITIES, CAN EXPAND ACCESS TO PSYCHOLOGICAL SCIENCE BY PROVIDING VALUABLE RESEARCH OPPORTUNITIES FOR MANY STUDENTS. INSTRUCTORS CAN ALSO BENEFIT BY INTERTWINING THEIR TEACHING, MENTORING, AND RESEARCH GOALS. FUTURE RESEARCH SHOULD FOCUS ON EXPERIMENTALLY TESTING LEARNING OUTCOMES."
"WISMAN RA","OPERATIONALIZING THE INTERSECTION OF RACIAL AND SOCIOECONOMIC DIVERSITY IN PREDICTING SCHOOL-LEVEL ACADEMIC ACHIEVEMENT","EDUCATION AND URBAN SOCIETY",2020,"DIVERSITY; DESEGREGATION; RACE; SOCIOECONOMIC STATUS; STUDENT ASSIGNMENT PLAN","SINCE MEREDITH V. JEFFERSON COUNTY BOARD OF EDUCATION ET AL., SCHOOL DISTRICTS SEEKING TO VOLUNTARILY INTEGRATE SCHOOLS HAVE DESIGNED A HOST OF METRICS TO STRUCTURE WITHIN-SCHOOL DIVERSITY USING CHARACTERISTICS OF STUDENTS' NEIGHBORHOODS RATHER THAN THE RACE OF INDIVIDUAL STUDENTS. THIS STUDY UTILIZES A CORRELATIONAL-MULTIPLE REGRESSION DESIGN TO INVESTIGATE THE EFFICACY OF ONE SUCH MEASURE OF SOCIOECONOMIC/RACIAL DIVERSITY, THE DIVERSITY INDEX (DI) OF JEFFERSON COUNTY PUBLIC SCHOOLS, IN PREDICTING THE AGGREGATE ACADEMIC ACHIEVEMENT OF STUDENTS WITHIN A SCHOOL. MOREOVER, THIS STUDY SEEKS TO COMPARE THE RELATIVE EFFICACY OF THE DI WITH OTHER COMMON MEASURES OF SOCIOECONOMIC AND RACIAL DIVERSITY ANALOGOUS TO COMPONENT FACTORS OF THE DI. METRICS SUCH AS THE DI PROVIDE AN OPPORTUNITY FOR RESEARCHERS TO BETTER UNDERSTAND THE INTERSECTIONS OF POVERTY AND RACE AS WELL AS THEIR RELATIONSHIP WITH ACADEMIC ACHIEVEMENT. IMPLICATIONS FOR PRACTICE AND FUTURE RESEARCH ARE DISCUSSED."
"MENGHWANI V;ZERRIFFI H;KORKOVELOS A;KHAVARI B;SAHLBERG A;HOWELLS M;MENTIS D","PLANNING WITH JUSTICE: USING SPATIAL MODELLING TO INCORPORATE JUSTICE IN ELECTRICITY PRICING - THE CASE OF TANZANIA","APPLIED ENERGY",2020,"ENERGY SYSTEMS MODELLING; ENERGY ACCESS; ENERGY JUSTICE; TANZANIA; ONSSET; GIS","UNIVERSAL ELECTRIFICATION BY 2030 IS AN IMPORTANT GOAL OF SUSTAINABLE DEVELOPMENT GOAL (SDG) 7. ELECTRICITY PROVISION NO LONGER RELIES ONLY ON CENTRALIZED GRID EXPANSION, BUT ALSO ON OFF-GRID AND MINI-GRID SYSTEMS. ALTHOUGH THIS TECHNOLOGICAL DIVERSITY HOLDS PROMISE, THE TECHNOLOGIES DIFFER BOTH PHYSICALLY AND INSTITUTIONALLY IN ELECTRICITY DELIVERY. THESE DIFFERENCES RAISE EQUITY AND JUSTICE CONCERNS AROUND HOW THEY ARE IMPLEMENTED. FOR EXAMPLE, HOW CAN ELECTRICITY BE KEPT AFFORDABLE FOR ALL CONSUMERS WHEN ACCESS IS PROVIDED BY VARIOUS TECHNOLOGIES OPERATED UNDER DIFFERENT BUSINESS MODELS? THIS PAPER ADDRESSES THIS ASPECT OF AFFORDABILITY AND SHEDS LIGHT ON HOW THE SDG7 TARGET COULD BE MET MORE EQUITABLY AND FAIRLY. WE USE A NOVEL ANALYTICAL METHODOLOGY TO APPLY TWO DIFFERENT PRINCIPLES OF JUSTICE - EQUALITY AND EQUITY - TO INCORPORATE AFFORDABILITY INTO ELECTRICITY PRICING. USING A GEOSPATIAL ELECTRIFICATION MODEL AND TANZANIA AS A CASE STUDY, WE FIRST ARRIVE AT PRICE LEVELS BASED ON THE PRINCIPLE(S) OF JUSTICE. THEN, WE PRODUCE LOCATION-SPECIFIC RECOMMENDATIONS FOR SUBSIDY LEVELS NEEDED TO ENSURE THOSE PRICE LEVELS. WE FIND THAT THE EQUITY APPROACH BENEFITS A BIGGER SECTION OF THE POPULATION THAN THE EQUALITY APPROACH. MOREOVER, THE FORMER COSTS SIGNIFICANTLY LESS PER CAPITA THAN THE LATTER. HAVING SAID THAT, THE EQUITY APPROACH IS COMPLEX AND THEREFORE HARDER TO IMPLEMENT. THE METHODOLOGICAL FRAMEWORK PROPOSED IN THIS STUDY ACTS AS A PROOF-OF-CONCEPT FOR EXAMINING CONCERNS AROUND DISTRIBUTIVE JUSTICE USING QUANTITATIVE ENERGY MODELLING TOOLS AND DRAWING POLICY RELEVANT INSIGHTS FOR ENERGY PLANNING IN DEVELOPING COUNTRIES. ADDITIONALLY, BY FOCUSING ON THE SPATIAL ASPECTS OF ENERGY ACCESS AND THE ISSUE OF FAIRNESS, THE STUDY ALSO CONTRIBUTES TO THE GROWING CONCEPTUALIZATIONS OF ENERGY JUSTICE."
"BENERAS JA;LUGO MF;HERNANDEZ JRH","STRATEGIES FOR ACCESSIBILITY TO THE TEODORO MALDONADO HOSPITAL IN GUAYAQUIL. A DESIGN PROPOSAL FOCUSED ON THE HUMAN BEING","INTELLIGENT HUMAN SYSTEMS INTEGRATION 2020",2020,"URBAN PLANNING; HUMAN FACTORS; MOBILITY; ACCESSIBILITY STRATEGIES","URBAN PLANNING IS A MECHANISM THAT ALLOWS CITIES TO ACHIEVE SUSTAINABLE DEVELOPMENT TO THE EXTENT THAT IT PROVIDES THE CITIZEN WITH QUALITY OF LIFE. THE PRESENT STUDY IS A TERRITORIAL ANALYSIS AND DIAGNOSIS PROCESS IS CARRIED OUT TO IMPROVE PEDESTRIAN ACCESSIBILITY IN THE PUBLIC SPACE IMMEDIATELY TO TEODORO MALDONADO HOSPITAL IN GUAYAQUIL THROUGH THE DEVELOPMENT OF A MOBILITY PLAN FOR THE ESTABLISHMENT OF DESIGN STRATEGIES. A MIXED METHODOLOGY IS PROPOSED UNDER A SYSTEMIC APPROACH WHERE SIX COMPONENTS ARE CONSIDERED IN THE JAN GEHL METHODOLOGY ON FIVE AREAS OF ACTION: PRESERVATION OF HERITAGE, SUSTAINABLE MOBILITY, EQUITY AND DIVERSITY, URBAN DESIGN AT THE HUMAN SCALE, DEVELOPMENT ECONOMIC AND CULTURAL. THE PROPOSAL CONSIDERS A HIGHER LEVEL OF IMPORTANCE (70%) FOR PEDESTRIAN CIRCULATION THAN THE ROAD SYSTEM, FOLLOWING THE PARAMETERS ESTABLISHED IN NACTO (NATIONAL ASSOCIATION OF TRANSPORT OFFICIALS OF THE CITY)."
"ROBISON T;RUSSELL JA","FACTORS IMPACTING ELEMENTARY GENERAL MUSIC TEACHERS' CAREER DECISIONS: SYSTEMIC ISSUES OF STUDENT RACE, TEACHER SUPPORT, AND FAMILY","JOURNAL OF RESEARCH IN MUSIC EDUCATION",2022,"CAREER DECISIONS; CULTURALLY RESPONSIVE TEACHING; DIVERSITY; EQUITY; INCLUSION; GENERAL MUSIC; MUSIC TEACHER ATTRITION; MUSIC TEACHER RETENTION","THE PURPOSE OF THIS STUDY WAS TO EXAMINE FACTORS THAT MAY INFLUENCE THE PROJECTED CAREER PLANS OF ELEMENTARY GENERAL MUSIC TEACHERS. SURVEY PARTICIPANTS (N = 972) COMPLETED A QUESTIONNAIRE DESIGNED TO ELICIT RESPONSES ABOUT MULTIPLE FACTORS AND PROJECTED CAREER PLANS IN 1 YEAR AND IN 5 YEARS. THE VAST MAJORITY OF PARTICIPANTS PLANNED TO REMAIN IN THEIR POSITION THE FOLLOWING YEAR, YET A LITTLE UNDER HALF OF THEM PLANNED ON REMAINING IN THEIR POSITIONS IN 5 YEARS. THE VARIABLES ASSOCIATED WITH TEACHER MIGRATION OR ATTRITION IN 5 YEARS WERE ISSUES OF TEACHER SUPPORT (I.E., PARTICIPATION IN A MENTORING PROGRAM AND RECOGNITION IN THE FORM OF TEACHING AWARDS), STUDENT RACE, AND FAMILY RESPONSIBILITIES (I.E., NUMBER OF CHILDREN AT HOME). MOVERS WERE ALSO MORE LIKELY TO HAVE RECEIVED A TEACHING AWARD THAN THOSE WHO INTENDED TO STAY IN THEIR CURRENT POSITIONS OR THOSE WHO PLANNED TO LEAVE THE PROFESSION. IMPLICATIONS FOR THE PROFESSION AS WELL AS FOR PRACTICE AND FUTURE RESEARCH ARE DISCUSSED."
"DE SIQUEIRA LP;TEDESCO AM;MELI P;DIEDERICHSEN A;BRANCALION PHS","GENDER INCLUSION IN ECOLOGICAL RESTORATION","RESTORATION ECOLOGY",2021,"GENDER ANALYSIS; GENDER BALANCE; GENDER EQUALITY; GENDER EQUITY; RESTORATION GOVERNANCE; SUSTAINABLE DEVELOPMENT GOALS; UN DECADE ON ECOSYSTEM RESTORATION","PROMOTING DIVERSITY IS CORE FOR ECOLOGICAL RESTORATION. RESTORATION PROJECTS OFTEN QUANTIFY BIOLOGICAL DIVERSITY AS A MEASURE OF SUCCESS, BUT GENERALLY OVERLOOK HUMAN DIVERSITY, INCLUDING GENDER ISSUES, WHICH HAVE NOT BEEN SUFFICIENTLY CONSIDERED IN RESTORATION PLANNING, IMPLEMENTATION, AND MONITORING. HERE, WE JUSTIFY THE NEED TO CONSIDER GENDER EQUALITY IN ECOLOGICAL RESTORATION AND OFFER GUIDANCE ON ADOPTING GENDER-RESPONSIVE APPROACHES. GENDER EQUALITY SHOULD BE CONSIDERED BOTH A DRIVER AND A MEASURE OF SUCCESS AND WILL PLAY A CENTRAL ROLE TO LEVERAGE THE CONTRIBUTIONS OF RESTORATION TO THE UNITED NATIONS' SUSTAINABLE DEVELOPMENT GOALS AND OF WOMEN TO ITS DECADE ON ECOSYSTEM RESTORATION. WE FINALLY RECOMMEND THAT THE INTERNATIONAL PRINCIPLES AND STANDARDS FOR THE PRACTICE OF ECOLOGICAL RESTORATION ARE AMENDED TO INCLUDE A GENDER-RESPONSIVE PERSPECTIVE IN ITS RECOMMENDATIONS."
"SAUNDERS F;GILEK M;IKAUNIECE A;TAFON RV;GEE K;ZAUCHA J","THEORIZING SOCIAL SUSTAINABILITY AND JUSTICE IN MARINE SPATIAL PLANNING: DEMOCRACY, DIVERSITY, AND EQUITY","SUSTAINABILITY",2020,"MARINE GOVERNANCE; SOCIAL SUSTAINABILITY; SOCIAL JUSTICE; CONCEPTUAL FRAMEWORK; PARTICIPATION; REPRESENTATION; DEMOCRACY; EQUITY; DISTRIBUTION; RECOGNITION; DISTRIBUTION","THIS ARTICLE ELABORATES A CONCEPTUAL FRAMEWORK TO EXAMINE SOCIAL SUSTAINABILITY IN MARINE SPATIAL PLANNING (MSP). BASED ON A CRITICAL LITERATURE REVIEW OF KEY TEXTS ON SOCIAL SUSTAINABILITY IN MSP AND THE BROADER SUSTAINABLE DEVELOPMENT LITERATURE WE SHOW THE NEED TO ELABORATE A COGENT AND COMPREHENSIVE APPROACH FOR THE ANALYSIS AND PURSUIT OF SOCIAL SUSTAINABILITY LINKED TO THE SEA. WE THEN THEORIZE SOCIAL SUSTAINABILITY BY DEVELOPING A CONCEPTUAL FRAMEWORK THROUGH INTEGRATING THREE DIMENSIONS: RECOGNITION, REPRESENTATION AND DISTRIBUTION. WHILE THESE THREE SOCIAL SUSTAINABILITY/JUSTICE FEATURES CLEARLY OVERLAP AND ARE INTERDEPENDENT IN PRACTICE, THE CONCEPTUAL THINKING UNDERPINNING EACH OF THEM IS DISTINCTIVE AND WHEN TAKEN TOGETHER THEY CONTRIBUTE TOWARDS CONCEIVING SOCIAL SUSTAINABILITY AS A PILLAR OF SUSTAINABILITY. OUR APPROACH CAN SUPPORT AN ANALYSIS/EVALUATION OF MSP IN THAT, FIRST, ITS BROAD SCOPE AND ADAPTABILITY MAKES IT SUITABLE TO EXAMINE THE WIDE RANGE OF CLAIMS, DEMANDS, AND CONCERNS THAT ARE LIKELY TO BE ENCOUNTERED ACROSS DIFFERENT PRACTICAL MSP SETTINGS. SECOND, IT ACKNOWLEDGES THE OPPORTUNITIES AND CHALLENGES OF ASSESSING, IMPLEMENTING, AND ACHIEVING SOCIAL JUSTICE WITHIN A BROADER SUSTAINABILITY FRAMEWORK."
"LANG R;SCHNEIDER M;KETT M;COLE E;GROCE N","POLICY DEVELOPMENT: AN ANALYSIS OF DISABILITY INCLUSION IN A SELECTION OF AFRICAN UNION POLICIES","DEVELOPMENT POLICY REVIEW",2019,"AFRICA; DISABILITY; IMPLEMENTATION; INTERNATIONAL DEVELOPMENT; PARTICIPATION; POVERTY ERADICATION; PUBLIC POVERTY; SDGS","CONTEMPORARY DEBATES IN INTERNATIONAL DEVELOPMENT DISCOURSE ARE CONCERNED WITH THE NON-TOKENISTIC INCLUSION AND PARTICIPATION OF MARGINALIZED GROUPS IN THE POLICY-MAKING PROCESS IN DEVELOPING COUNTRIES. THIS IS DIRECTLY RELEVANT TO DISABLED PEOPLE IN AFRICA, WHICH IS THE FOCUS OF THIS ARTICLE. THE UNITED NATIONS CONVENTION ON THE RIGHTS OF PERSONS WITH DISABILITIES DELINEATES THE PRINCIPLES OF INCLUSION IN SOCIETY. FURTHERMORE, THE AFRICAN UNION (AU) PLAYS A KEY ROLE IN ADVISING ITS MEMBER STATES ABOUT DISABILITY ISSUES, AND THIS ADVICE SHOULD BE REFLECTED IN DISABILITY-INCLUSIVE POLICIES. THIS ARTICLE ANALYSES NINE POLICY OR STRATEGY DOCUMENTS PRODUCED BY THE AU, COVERING THE POLICY DOMAINS OF EDUCATION, HEALTH, EMPLOYMENT AND SOCIAL PROTECTION THAT ARE CRUCIAL TO THE INCLUSION OF DISABLED PEOPLE IN INTERNATIONAL DEVELOPMENT. THESE WERE ANALYSED ACCORDING TO SEVEN DISCRETE ELEMENTS (RIGHTS, ACCESSIBILITY, INCLUSIVITY, IMPLEMENTATION PLANS, BUDGETARY ALLOCATIONS, ENFORCEMENT MECHANISMS OR DISAGGREGATED MANAGEMENT INFORMATION SYSTEMS) USING A RATING SCALE OF ONE TO FOUR, WITH FOUR BEING THE HIGHEST LEVEL OF INCLUSION. THE PROCESS (FOR EXAMPLE, LEVEL OF CONSULTATION), THE CONTEXT (FOR EXAMPLE, THE SUSTAINABLE DEVELOPMENT GOALS) AND ACTORS INVOLVED IN THE POLICY DEVELOPMENT WERE REVIEWED AS FAR AS WAS POSSIBLE FROM THE DOCUMENTS. NONE OF THE POLICIES REACHED EVEN 50% OF THE TOTAL POSSIBLE SCORE, INDICATING POOR LEVELS OF GENUINE INCLUSION. RIGHTS SCORED A HIGHEST RATING, BUT STILL AT A LOW LEVEL. THIS SUGGESTS THAT THERE IS RECOGNITION OF THE RIGHTS OF DISABLED PEOPLE TO INCLUSION, BUT THIS IS NOT GENERALLY INTEGRATED WITHIN INCLUSIVE IMPLEMENTATION PLANS, BUDGETARY ALLOCATIONS, ENFORCEMENT MECHANISMS OR DISAGGREGATED MANAGEMENT INFORMATION SYSTEMS FOR MONITORING. THE LIMITED SOCIO-ECONOMIC INCLUSION OF DISABILITY WITHIN AU POLICIES IS A LOST OPPORTUNITY THAT SHOULD BE REVIEWED AND RECTIFIED. THE FINDINGS HAVE BROADER RAMIFICATIONS FOR THE NON-TOKENISTIC AND GENUINE INVOLVEMENT OF POOR AND MARGINALIZED GROUPS IN THE INTERNATIONAL POLICY-MAKING ARENA."
