"AU","TI","SO","PY","DE","AB"
"BOLLENS SA","URBAN PLANNING AND INTERGROUP CONFLICT - CONFRONTING A FRACTURED PUBLIC INTEREST","JOURNAL OF THE AMERICAN PLANNING ASSOCIATION",2002,NA,"CITIES ACROSS THE WORLD ARE CONFRONTED BY A GROWING ETHNIC AND RACIAL DIVERSITY THAT CHALLENGES THE TRADITIONAL MODEL OF URBAN PLANNING INTERVENTION FOCUSED ON INDIVIDUAL, NOT GROUP, DIFFERENCES. THIS ARTICLE EXAMINES URBAN PLANNING IN THREE ETHNICALLY POLARIZED SETTINGS-BELFAST, JERUSALEM, AND JOHANNESBURG-TO ASCERTAIN HOW PLANNERS TREAT COMPLEX AND EMOTIONAL ISSUES OF ETHNIC IDENTITY AND GROUP-BASED CLAIMS. FOUR MODELS OF PLANNING INTERVENTION-NEUTRAL, PARTISAN, EQUITY, AND RESOLVER-ARE EXAMINED THROUGH INTERVIEWS WITH OVER 100 PLANNERS AND POLICY OFFICIALS. THE ARTICLE OUTLINES THE SIGNIFICANT IMPLICATIONS OF THESE CASES IN TERMS OF THE LIMITATIONS AND POTENTIAL CONTRIBUTIONS OF AMERICAN URBAN PLANNING TO EFFECTIVELY ACCOMMODATE ETHNIC AND CULTURAL DIFFERENCES."
"SULMAN J;KANEE M;STEWART P;SAVAGE D","DOES DIFFERENCE MATTER? DIVERSITY AND HUMAN RIGHTS IN A HOSPITAL WORKPLACE","SOCIAL WORK IN HEALTH CARE",2007,"DIVERSITY; HUMAN RIGHTS; WORKPLACE; HOSPITAL; SOCIAL WORK; FOCUS GROUPS","THE URBAN HOSPITAL WORKPLACE IS A DYNAMIC ENVIRONMENT THAT MIRRORS THE CULTURAL AND SOCIAL DIVERSITY OF THE MODERN CITY. THIS PAPER EXPLORES THE LITERATURE RELATING TO DIVERSITY IN THE WORKPLACE AND THEN DESCRIBES AN URBAN CANADIAN TEACHING HOSPITAL'S COMPREHENSIVE APPROACH TO THE PROMOTION OF AN EQUITABLE AND INCLUSIVE DIVERSE ENVIRONMENT. WITH THIS GOAL, FOUR YEARS AGO THE HOSPITAL ESTABLISHED AN OFFICE OF DIVERSITY AND HUMAN RIGHTS STAFFED BY A SOCIAL WORKER. THE OFFICE PROVIDES EDUCATION, TRAINING, POLICY DEVELOPMENT AND COMPLAINTS MANAGENNENT. THE ADMINISTRATION ALSO CONVENED A HOSPITAL-WIDE COMMITTEE TO ADVISE ON THE OUTCOMES, AND TO PLAN A PROCESS FOR DIVERSITY AND HUMAN RIGHTS ORGANIZATIONAL CHANGE. THE COMMITTEE WORKED WITH A SOCIAL WORK RESEARCH CONSULTANT TO DESIGN A QUALITATIVE FOCUS GROUP STUDY, CURRENTLY ONGOING, TO EXPLORE THE PERSPECTIVES OF HOSPITAL STAFF. THE LESSONS LEARNED FROM THE PROCESS HAVE THE POTENTIAL TO INCREASE OVERALL CULTURAL COMPETENCY OF STAFF THAT CAN TRANSLATE INTO MORE SENSITIVE WORK WITH PATIENTS."
"GALLENT N;KIM KS","LAND ZONING AND LOCAL DISCRETION IN THE KOREAN PLANNING SYSTEM","LAND USE POLICY",2001,"KOREA; LAND-USE PLANNING; ZONING; LOCAL DISCRETION","ZONAL PLANNING SYSTEMS ARE NOT NOTED FOR THEIR PROMOTION OF LAND-USE DIVERSIFICATION OR VARIETY; RATHER, THE RIGIDITY WITH WHICH THEY REGULATE CHANGES IN LAND-USE HAS BEEN A FOCUS OF CONCERN IN MANY COUNTRIES. ZONES FREQUENTLY CUT ACROSS AREAS OF DIVERSE SOCIAL, CULTURAL AND ECONOMIC NEED; THEY CAUSE SHARP DIVISIONS IN BOTH PHYSICAL STRUCTURE AND SOCIAL EQUITY. IN SOME COUNTRIES, THE CREATION OF ""BUFFER"" OR ""MIXED USE"" ZONES HAS BEEN VIEWED AS ONE POSSIBLE SOLUTION; THESE CAN BLUNT THE EDGES OF OTHERWISE SHARP SPATIAL DIVISIONS AND PROMOTE DIVERSITY. ELSEWHERE, THERE HAVE BEEN CALLS FOR GREATER LOCAL DISCRETION IN THE PLANNING PROCESS AND A SHIFT IN POWER AWAY FROM THE STRATEGIC LEVEL TOWARDS THE LOCAL STATE. THIS PAPER EXPLORES THE POSSIBILITY OF INTRODUCING SUCH A SYSTEM IN KOREA. IT CONSIDERS SOME OF THE PROBLEMS THAT HAVE STEMMED FROM RIGID ZONING USING THE EXAMPLE OF RECENT MOVES TO AMEND ""RESTRICTED DEVELOPMENT ZONE"" BOUNDARIES. IT THEN OFFERS TWO PATHS FOR CHANGE: THE EXTENSION OF EXISTING POWERS TO GIVE LOCAL AUTHORITIES GREATER DISCRETION IN PLANNING DECISIONS, OR THE INTRODUCTION OF DISCRETIONARY PLANNING ZONES AS A STANDARD AND WIDELY AVAILABLE REGULATORY TOOL. (C) 2001 ELSEVIER SCIENCE LTD. ALL RIGHTS RESERVED."
"LAWRENCE RJ","INEQUALITIES IN URBAN AREAS: INNOVATIVE APPROACHES TO COMPLEX ISSUES","SCANDINAVIAN JOURNAL OF PUBLIC HEALTH",2002,"ECOLOGICAL PERSPECTIVE; EQUITY; HOUSING; INEQUALITIES; PUBLIC HEALTH; URBAN PLANNING","URBANIZATION, A CHARACTERISTIC OF THE TWENTIETH CENTURY, IS A PROFOUND TRANSFORMATION OF HUMAN SETTLEMENT PROCESSES AND THEIR OUTCOMES, WHICH HAS NOT BEEN WELL UNDERSTOOD IN TERMS OF BOTH POSITIVE AND NEGATIVE IMPACTS. THIS PAPER ARGUES THAT THE INTERRELATIONS BETWEEN URBAN PLANNING, HEALTH, SOCIAL, AND ENVIRONMENTAL POLICIES HAVE BEEN POORLY ARTICULATED UNTIL NOW. ALTHOUGH SECTORAL APPROACHES HAVE OFTEN APPLIED REMEDIAL AND CORRECTIVE MEASURES TO OVERCOME UNSATISFACTORY CONDITIONS IN URBAN AREAS, TODAY WE KNOW THAT INFECTIOUS DISEASES STEMMING FROM INSANITARY CONDITIONS ARE NOT THE LEADING CAUSE OF MORBIDITY AND MORTALITY IN EUROPE. NONETHELESS DIVERSE FORMS OF ILL HEALTH REMAIN ASSOCIATED WITH PLACE OF WORK AND RESIDENCE. THEREFORE, IN ORDER TO DEAL WITH THE COMPLEXITY AND DIVERSITY OF URBAN AREAS THERE IS AN URGENT NEED TO MOVE FROM CONVENTIONAL, SECTORAL APPROACHES BASED ON BIOMEDICAL MODELS OF HEALTH TO COORDINATED ACTION STEMMING FROM AN ECOLOGICAL INTERPRETATION OF HEALTH INCLUDING ITS SOCIAL DETERMINANTS. THIS KIND OF APPROACH IS PRESENTED IN ORDER TO PROMOTE HEALTH AND SOCIAL DEVELOPMENT AT THE LOCAL LEVEL."
"DIXON J;OMWEGA AM;FRIEL S;BURNS C;DONATI K;CARLISLE R","THE HEALTH EQUITY DIMENSIONS OF URBAN FOOD SYSTEMS","JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE",2007,"URBAN FOOD AND NUTRITION SYSTEMS; HEALTH INEQUITIES; NUTRITION TRANSITION; SOCIAL DETERMINANTS OF NUTRITION; URBAN AGRICULTURE AND FOOD DISTRIBUTION; URBAN NUTRITION INTERVENTIONS","THERE IS INCREASING RECOGNITION THAT THE NUTRITION TRANSITION SWEEPING THE WORLD'S CITIES IS MULTIFACETED. URBAN FOOD AND NUTRITION SYSTEMS ARE BEGINNING TO SHARE SIMILAR FEATURES, INCLUDING AN INCREASE IN DIETARY DIVERSITY, A CONVERGENCE TOWARD ""WESTERN-STYLE"" DIETS RICH IN FAT AND REFINED CARBOHYDRATE AND WITHIN-COUNTRY BIFURCATION OF FOOD SUPPLIES AND DIETARY CONVENTIONS. UNEQUAL ACCESS TO THE AVAILABLE DIETARY DIVERSITY, CALORIES, AND GASTRONOMICALLY SATISFYING EATING EXPERIENCE LEADS TO NUTRITIONAL INEQUALITIES AND DIET-RELATED HEALTH INEQUITIES IN RICH AND POOR CITIES ALIKE. UNDERSTANDING THE DETERMINANTS OF INEQUALITIES IN FOOD SECURITY AND NUTRITIONAL QUALITY IS A PRECONDITION FOR DEVELOPING PREVENTIVE POLICY RESPONSES. FINDING COMMON SOLUTIONS TO UNDER-AND OVERNUTRITION IS REQUIRED, THE FIRST STEP OF WHICH IS POVERTY ERADICATION THROUGH CREATING LIVELIHOOD STRATEGIES. IN MANY CITIES, THOUSANDS OF POSITIONS OF PAID EMPLOYMENT COULD BE CREATED THROUGH THE ESTABLISHMENT OF SUSTAINABLE AND SELF-SUFFICIENT LOCAL FOOD SYSTEMS, INCLUDING URBAN AGRICULTURE AND FOOD PROCESSING INITIATIVES, FOOD DISTRIBUTION CENTERS, HEALTHY FOOD MARKET SERVICES, AND URBAN PLANNING THAT PROVIDES FOR MULTIPLE MODES OF TRANSPORT TO FOOD OUTLETS. GREATER ENGAGEMENT WITH THE FOOD SUPPLY MAY DISPEL MANY OF THE FOOD ANXIETIES AFFLUENT CONSUMERS ARE EXPERIENCING."
"DAWSON E","THE RELEVANCE OF SOCIAL AUDIT FOR OXFAM GB","JOURNAL OF BUSINESS ETHICS",1998,NA,"THIS PAPER EXAMINES WHAT SOCIAL AUDITING HAS TO OFFER OXFAM AND SIMILAR ORGANISATIONS INVOLVED IN THE COLLECTION OF CHARITABLE DONATIONS FOR INTERNATIONAL DEVELOPMENT AND RELIEF OPERATIONS IN TERMS OF IMPROVING THE QUALITY OF THEIR WORK, INCREASING THEIR ACCOUNTABILITY TO STAKEHOLDERS, AND THEIR CAPACITY TO ACHIEVE IMPACT IN TERMS OF THEIR INSTITUTIONAL GOALS. IN LOOKING AT THE PARTICULAR CASE OF OXFAM, IT DISCUSSES ISSUES IN RELATION TO THE ESTABLISHMENT OF SOCIAL AUDITING WITH RELEVANCE FOR SIMILAR ORGANISATIONS. THE PAPER POINTS OUT THAT SINCE OXFAM IS NOT A PROFIT-MAKING ORGANISATION, BUT ONE BASED ON A HUMANITARIAN IMPULSE, THERE ARE MANY WAYS IN WHICH IT ALREADY LIVES UP TO THE IDEALS OF SOCIAL AUDIT. THE PAPER LISTS AREAS OF GOVERNANCE AND SYSTEMS WHERE OXFAM IS CURRENTLY RESPONDING TO THE MAJOR PRINCIPLES OF SOCIAL AUDIT, AND SOME OF THE ISSUES ENCOUNTERED IN DOING SO. THESE PRINCIPLES HAVE BEEN DEFINED BY ZADEK (1997) AS FOLLOWS: INCLUSIVITY, COMPARABILITY, COMPLETENESS, EVOLUTIONARY, SYSTEMS INTEGRATION (EMBEDDEDNESS), EXTERNAL VERIFICATION, COMMUNICATION AND CONTINUOUS IMPROVEMENT. EACH PRINCIPLE IS EXAMINED TO SEE WHAT IT OFFERS OXFAM IN TERMS OF ITS PRINCIPAL CONCERN - TO IMPROVE THE QUALITY AND IMPACT OF ITS WORK, AND LEGITIMACY, AND WHAT DIFFICULTIES THEIR APPLICATION ENTAIL. THE MAIN ASPECTS LACKING AT PRESENT ARE: A) A SYSTEMATIC CONSULTATION WITH STAKEHOLDERS B) INDEPENDENT VERIFICATION C) THE PUBLICATION OF RESULTS TO SOME EXTENT, OXFAM'S TRUSTEES PERFORM THE SECOND FUNCTION, TOGETHER WITH EXTERNAL CONSULTANTS EMPLOYED TO CARRY OUT EVALUATIONS OF ITS INTERNATIONAL DEVELOPMENT PROGRAMME. THE ORGANISATION'S ANNUAL REVIEW PROVIDES PUBLIC INFORMATION REGARDING ITS WORK. NEVERTHELESS, THE WIDER PUBLICATION OF NEGATIVE RESULTS, EXCEPT TO THE PROFESSIONAL AND ACADEMIC AUDIENCE REACHED THROUGH SUCH PUBLICATIONS AS ""DEVELOPMENT IN PRACTICE"", WOULD CERTAINLY BE NEW TO OXFAM, AS WOULD THE SETTING UP OF INTERAGENCY STANDARDS OR BENCHMARKS. THE PAPER ARGUES THAT RATHER THAN ADOPTING SOCIAL AUDIT AS A NEW CYCLE, A COSTLY AND TIME-CONSUMING EXERCISE, WAYS SHOULD BE SOUGHT TO ENSURE EXISTING SYSTEMS LIVE UP TO ITS PRINCIPLES. EVEN THIS COULD BECOME COSTLY, AND WAYS OF DOING THIS IN A COST-EFFECTIVE MANNER NEED TO BE DEVELOPED. THE OTHER MAJOR ISSUE FOR OXFAM IS THE ENORMITY AND DIVERSITY OF ITS MAJOR STAKEHOLDERS, IE THOSE PEOPLE IT TRIES TO BENEFIT BY MEANS OF ITS INTERNATIONAL DEVELOPMENT PROGRAMME, AND THE CONTRADICTIONS WHICH EXIST WITHIN THEM AS A GROUP, LET ALONE BETWEEN THEM AND THE OTHER STAKEHOLDERS OF THE ORGANISATION. WAYS IN WHICH THIS COULD BE OVERCOME ARE SUGGESTED, SUCH AS CONSULTING THEM WITHIN THE REMITS SET BY ORGANISATIONAL STRATEGIC PLANS, AND CONTINUALLY DEVELOPING GREATER CLARITY WITH REGARD TO THE KIND OF ASSISTANCE THE ORGANISATIONS OFFERS, AND TAKING DECISIONS REGARDING THE WEIGHTING TO BE GIVEN TO DIFFERENT GROUPS. THE ISSUE OF THE PUBLICATION OF NEGATIVE RESULTS IN WAYS WHICH REACH THE GENERAL PUBLIC IS MORE DIFFICULT. IT COULD BE RESOLVED BY CAREFUL DECISION-MAKING REGARDING AND MANAGEMENT OF THE CONTEXT IN WHICH INFORMATION IS DISCLOSED. IT IS CONCEIVABLE THAT THE ORGANISATION WOULD GAIN IN ITS REPUTATION BY BEING SEEN TO BE HONEST EVEN IN THE MOST DIFFICULT CASES, AND CONVERSELY LOSE IF IT WERE DISCOVERED TO BE HIDING NEGATIVE INFORMATION. IT IS ALREADY RELATIVELY OPEN AT THE PROFESSIONAL AND ACADEMIC LEVEL, BUT NEEDS TO CONSIDER CAREFULLY IF IT IS TOO CAUTIOUS IN RELATION TO THE GENERAL PUBLIC."
