"AU","TI","PY","DE"
"TURNER E;DOMINGUEZ H;MALDONADO L;EMPSON S","ENGLISH LEARNERS' PARTICIPATION IN MATHEMATICAL DISCUSSION: SHIFTING POSITIONINGS AND DYNAMIC IDENTITIES",2013,"BILINGUAL ISSUES; DISCOURSE ANALYSIS; ELEMENTARY, K-8; ENGLISH LANGUAGE LEARNERS; EQUITY/DIVERSITY; LANGUAGE AND MATHEMATICS"
"AVERILL R;ANDERSON D;EASTON H;MARO PT;SMITH D;HYNDS A","CULTURALLY RESPONSIVE TEACHING OF MATHEMATICS: THREE MODELS FROM LINKED STUDIES",2009,"EQUITY/DIVERSITY; DECISION MAKING; MULTICULTURALISM; PRESERVICE TEACHER EDUCATION; SOCIAL AND CULTURAL ISSUES; PLANNING; TEACHER EDUCATION"
"BILLINGSLEY S;FERRARINI T","FAMILY POLICY AND FERTILITY INTENTIONS IN 21 EUROPEAN COUNTRIES",2014,"WESTERN EUROPEAN FAMILIES; FERTILITY; PARENTHOOD; WORK-FAMILY BALANCE; EASTERN EUROPEAN FAMILIES, FAMILY DIVERSITY; FAMILY PLANNING; FAMILY POLICY"
"BROWN JC;CRIPPEN KJ","THE GROWING AWARENESS INVENTORY: BUILDING CAPACITY FOR CULTURALLY RESPONSIVE SCIENCE AND MATHEMATICS WITH A STRUCTURED OBSERVATION PROTOCOL",2016,NA
"GOTTLIEB JJ","STEM CAREER ASPIRATIONS IN BLACK, HISPANIC, AND WHITE NINTH-GRADE STUDENTS",2018,"ATTITUDES AND ACHIEVEMENT; DIVERSITY; EQUITY; GENDER; SOCIOCULTURAL ISSUES"
"HEMMING JJ;BAEZ A;HALL M;THOMPSON W;STILES J;OFILI E","ADVANCING HEALTH EQUITY THROUGH ORGANIZATIONAL MENTORING POLICIES AT MINORITY-SERVING INSTITUTIONS",2019,"MENTORSHIP; ORGANIZATIONAL POLICY; WORKFORCE DIVERSITY; CHANGE MANAGEMENT"
"BOSMAN LB;MCKENNA AF;PARRY Z;WEILERSTEIN P;WESTBROEK W;BURG KJL","THE UNEXPECTED BENEFITS OF CUSTOMER DISCOVERY FOR RESEARCH, TEACHING, ECONOMIC DEVELOPMENT, AND INNOVATION",2020,"CUSTOMER DISCOVERY; DIVERSITY; ECONOMIC DEVELOPMENT; ENTREPRENEURSHIP; I-CORPS; INCLUSIVITY; INNOVATION; RESEARCH; TEACHING; TRANSLATION"
"PARIS D","CULTURALLY SUSTAINING PEDAGOGY: A NEEDED CHANGE IN STANCE, TERMINOLOGY, AND PRACTICE",2012,"BILINGUAL/BICULTURAL; CULTURAL ANALYSIS; DIVERSITY; EQUITY; INSTRUCTIONAL PRACTICES; MULTICULTURALISM; SOCIAL JUSTICE"
"GHAFOOR A;ZAINUDIN R;MAHDZAN NS","FACTORS ELICITING CORPORATE FRAUD IN EMERGING MARKETS: CASE OF FIRMS SUBJECT TO ENFORCEMENT ACTIONS IN MALAYSIA",2019,"FINANCIAL STATEMENT FRAUD; FRAUD TRIANGLE; IDENTIFICATION ISSUE; MALAYSIA"
"BABIER A;ZHANG BH;MAHMOOD R;MOORE KL;PURDIE TG;MCNIVEN AL;CHAN TCY","OPENKBP: THE OPEN-ACCESS KNOWLEDGE-BASED PLANNING GRAND CHALLENGE AND DATASET",2021,"AUTOMATED PLANNING; COMPUTER VISION; EQUITY; DIVERSITY; AND INCLUSION; KNOWLEDGE-BASED PLANNING; MACHINE LEARNING; PUBLIC DATASET"
"MCGUINNESS PB","THE ROLE OF GOVERNANCE AND BANK FUNDING IN THE DETERMINATION OF CORNERSTONE ALLOCATIONS IN CHINESE EQUITY OFFERS",2019,"ENTREPRENEURSHIP; GOVERNANCE; CORNERSTONE AGREEMENTS; BANK LOANS; POLITICAL CONNECTIONS; FAMILY-RUN FIRMS; CEO AGE; INDEPENDENT DIRECTORS; GENDER; CHINESE ISSUERS"
"WU J;LI JW;MA Y","EXPLORING THE RELATIONSHIP BETWEEN POTENTIAL AND ACTUAL OF URBAN WATERFRONT SPACES IN WUHAN BASED ON SOCIAL NETWORKS",2019,"WATERFRONTS; SOCIAL NETWORKS; POINT OF INTEREST; MULTIPLE LINEAR REGRESSION; KERNEL DENSITY ESTIMATION"
"BROWN JVE;CRAMPTON PES;FINN GM;MORGAN JE","FROM THE STICKY FLOOR TO THE GLASS CEILING AND EVERYTHING IN BETWEEN: PROTOCOL FOR A SYSTEMATIC REVIEW OF BARRIERS AND FACILITATORS TO CLINICAL ACADEMIC CAREERS AND INTERVENTIONS TO ADDRESS THESE, WITH A FOCUS ON GENDER INEQUALITY",2020,"DOCTOR; DENTIST; CLINICAL ACADEMIC; CAREERS; INTEGRATED ACADEMIC TRAINING; GENDER INEQUALITY; EQUITY; DIVERSITY AND INCLUSION; CULTURE CHANGE; SYSTEMATIC"
