"AU","TI","PY","DE"
"SOTTO-SANTIAGO S;SHARP S;MAC J;MESSMORE N;HAYWOOD A;TYSON M;YI V","RECLAIMING THE MISSION OF ACADEMIC MEDICINE: AN EXAMINATION OF INSTITUTIONAL RESPONSES TO (ANTI)RACISM",2021,"ANTIRACISM; EQUITY; DIVERSITY; AND INCLUSION; STATEMENTS"
"ALEXANDER N","EVOLVING AFRICAN APPROACHES TO THE MANAGEMENT OF LINGUISTIC DIVERSITY: THE ACALAN PROJECT",2009,"ACALAN; DEMOCRACY; EQUITY; LANGUAGE PLANNING; LANGUAGE PLAN OF ACTION FOR AFRICA; LINGUISTIC DIVERSITY; LINGUISTIC CO-EXISTENCE; MULTILINGUALISM"
"MORTON BC;DELMAS PM;GILES RL;BHAKTA S","NO PLACE FOR HATRED: UNIVERSITY PRESIDENTS' RESPONSES TO CHARLOTTESVILLE",2021,"CHARLOTTESVILLE; SENSEMAKING; CRISIS LEADERSHIP; DIVERSITY; HIGHER EDUCATION; UNIVERSITY PRESIDENTS"
"WINKLE-WAGNER R;SULE VT;MARAMBA DC","WHEN RACE DISAPPEARS: COLLEGE ADMISSIONS POLICY DISCOURSE IN THE STATE OF TEXAS",2014,"AFFIRMATIVE ACTION; COLLEGE ACCESS; COLLEGE ADMISSIONS; DEMOCRATIC REPRESENTATION; DIVERSITY; EDUCATIONAL EQUITY; EDUCATIONAL POLICY"
"ROBISON T;RUSSELL JA","FACTORS IMPACTING ELEMENTARY GENERAL MUSIC TEACHERS' CAREER DECISIONS: SYSTEMIC ISSUES OF STUDENT RACE, TEACHER SUPPORT, AND FAMILY",2022,"CAREER DECISIONS; CULTURALLY RESPONSIVE TEACHING; DIVERSITY; EQUITY; INCLUSION; GENERAL MUSIC; MUSIC TEACHER ATTRITION; MUSIC TEACHER RETENTION"
"TICHAVAKUNDA AA","A CRITICAL RACE ANALYSIS OF UNIVERSITY ACTS OF RACIAL ""REDRESS"": THE LIMITED POTENTIAL OF RACIAL SYMBOLS",2021,"HIGHER EDUCATION; DIVERSITY; EDUCATIONAL EQUITY"
"SAUNDERS F;GILEK M;IKAUNIECE A;TAFON RV;GEE K;ZAUCHA J","THEORIZING SOCIAL SUSTAINABILITY AND JUSTICE IN MARINE SPATIAL PLANNING: DEMOCRACY, DIVERSITY, AND EQUITY",2020,"MARINE GOVERNANCE; SOCIAL SUSTAINABILITY; SOCIAL JUSTICE; CONCEPTUAL FRAMEWORK; PARTICIPATION; REPRESENTATION; DEMOCRACY; EQUITY; DISTRIBUTION; RECOGNITION; DISTRIBUTION"
"LEE CD","EXAMINING CONCEPTIONS OF HOW PEOPLE LEARN OVER THE DECADES THROUGH AERA PRESIDENTIAL ADDRESSES: DIVERSITY AND EQUITY AS PERSISTENT CONUNDRUMS",2016,"HISTORICAL ANALYSIS; LEARNING ENVIRONMENTS; LEARNING PROCESSES; STRATEGIES; PSYCHOLOGY"
"MARTIN M;FORSYTHE C;TAMIGLIETTI S","CELEBRATING DIVERSITY, EQUITY, AND INCLUSION: A DISABILITY AWARENESS EVENT FOR GIRL SCOUTS",2021,"DISABILITY AWARENESS; GIRL SCOUTS; DISABILITIES"
"ADAMS S;GORGENS-EKERMANS G;DE KOCK F","GRADUATE APPLICANT INTENTIONS AND BEHAVIORAL BELIEFS THE ROLE OF PROTECTED GROUP STATUS",2018,"APPLICANT INTENTIONS; BEHAVIORAL BELIEFS; RECRUITMENT; PROTECTED GROUPS; EQUAL EMPLOYMENT OPPORTUNITY"
