id,role,channel,date,ts,thread_ts,subtype,reactions,word_count,has_mention,has_url,active,mentions
User_0226,Member,webpage,2020-04-09 19:36:28.093500,1586475388.0935,1586465571.086900,,[],56,False,False,True,
User_0030,Member,webpage,2020-04-09 19:43:38.093800,1586475818.0938,1586465571.086900,,[],32,False,False,True,
User_0030,Member,webpage,2020-04-09 19:44:00.094000,1586475840.094,1586465571.086900,,[],7,False,False,True,
User_0102,Leadership,webpage,2020-08-28 09:39:55.007400,1598621995.0074,1598503232.006900,,[],29,False,False,True,
User_0030,Member,webpage,2021-01-15 15:47:29.002000,1610743649.002,1610636216.001300,,"[{""name"": ""pray"", ""users"": [""User_0060"", ""User_0003""], ""count"": 2}]",1,False,False,True,
User_0100,Leadership,webpage,2020-08-25 13:47:19.004800,1598377639.0048,1597954352.000900,,[],36,True,False,True,"User_0226,User_0030"
User_0030,Member,webpage,2020-08-25 16:07:25.005000,1598386045.005,1597954352.000900,,[],9,False,False,True,
User_0060,Leadership,webpage,2021-10-12 03:07:51.001700,1634022471.0017,1633962268.001000,,[],3,True,False,True,User_0030
User_0056,Member,webpage,2021-04-08 05:43:56.002000,1617875036.002,1617875036.002000,,"[{""name"": ""gccr"", ""users"": [""User_0003""], ""count"": 1}, {""name"": ""pray"", ""users"": [""User_0003""], ""count"": 1}, {""name"": ""+1"", ""users"": [""User_0226""], ""count"": 1}]",51,True,False,True,User_0226
User_0038,Member,webpage,2020-04-07 05:23:16.034100,1586251396.0341,1585964416.030600,,[],60,True,True,True,User_0030
User_0060,Leadership,webpage,2020-08-21 10:03:51.001100,1598018631.0011,1597954352.000900,,[],50,True,False,True,"User_0226,User_0030,User_0072"
User_0060,Leadership,webpage,2020-08-21 10:04:45.001500,1598018685.0015,1597954352.000900,,[],119,True,False,True,User_0102
User_0226,Member,webpage,2020-08-21 10:20:59.001900,1598019659.0019,1597954352.000900,,[],24,False,False,True,
User_0060,Leadership,webpage,2020-08-21 10:24:55.002100,1598019895.0021,1597954352.000900,,[],14,True,False,True,User_0226
User_0060,Leadership,webpage,2020-08-21 10:28:07.002300,1598020087.0023,1597954352.000900,,[],9,True,False,True,User_0226
User_0226,Member,webpage,2020-08-21 10:31:46.002500,1598020306.0025,1597954352.000900,,"[{""name"": ""pray"", ""users"": [""User_0060""], ""count"": 1}, {""name"": ""+1"", ""users"": [""User_0102""], ""count"": 1}]",4,True,False,True,User_0102
User_0226,Member,webpage,2020-08-21 10:32:35.002900,1598020355.0029,1597954352.000900,,"[{""name"": ""pray"", ""users"": [""User_0060""], ""count"": 1}, {""name"": ""+1"", ""users"": [""User_0102""], ""count"": 1}]",6,False,False,True,
User_0060,Leadership,webpage,2020-08-21 14:28:29.003400,1598034509.0034,1597954352.000900,,[],28,True,False,True,User_0226
User_0060,Leadership,webpage,2020-08-21 14:29:01.003800,1598034541.0038,1597954352.000900,,[],20,False,False,True,
User_0226,Member,webpage,2020-08-21 15:03:21.004200,1598036601.0042,1597954352.000900,,[],8,False,False,True,
User_0060,Leadership,webpage,2020-08-21 15:03:29.004400,1598036609.0044,1597954352.000900,,[],2,False,False,True,
User_0030,Member,webpage,2020-08-21 17:23:12.004600,1598044992.0046,1597954352.000900,,[],20,False,False,True,
User_0202,Member,webpage,2020-08-31 11:57:33.000700,1598889453.0007,1598889453.000700,,[],196,True,True,True,"User_0030,User_0226,User_0100"
User_0100,Leadership,webpage,2020-08-31 12:25:35.001100,1598891135.0011,1598889453.000700,,[],14,True,False,True,User_0060
User_0226,Member,webpage,2020-08-31 12:36:06.001300,1598891766.0013,1598889453.000700,,[],17,True,True,True,User_0030
User_0202,Member,webpage,2020-08-31 13:30:41.001500,1598895041.0015,1598889453.000700,,[],1,False,False,True,
User_0060,Leadership,webpage,2020-08-31 14:18:07.001700,1598897887.0017,1598889453.000700,,[],36,True,False,True,
User_0202,Member,webpage,2020-08-31 16:13:06.001900,1598904786.0019,1598889453.000700,,"[{""name"": ""+1"", ""users"": [""User_0060""], ""count"": 1}]",64,False,False,True,
User_0030,Member,webpage,2020-08-31 16:14:04.002100,1598904844.0021,1598889453.000700,,[],101,False,False,True,
User_0202,Member,webpage,2020-08-31 17:54:01.002400,1598910841.0024,1598889453.000700,,[],27,False,True,True,
User_0030,Member,webpage,2020-08-31 19:46:30.002800,1598917590.0028,1598889453.000700,,[],51,False,False,True,
User_0030,Member,webpage,2020-08-31 19:47:50.003000,1598917670.003,1598889453.000700,,[],17,False,True,True,
User_0030,Member,webpage,2020-08-31 19:50:17.003300,1598917817.0033,1598889453.000700,,[],35,True,False,True,User_0060
User_0202,Member,webpage,2020-08-31 22:33:18.003600,1598927598.0036,1598889453.000700,,[],63,False,False,True,
User_0030,Member,webpage,2020-06-22 06:43:57.302900,1592822637.3029,1592414832.295600,,[],37,True,False,True,User_0226
User_0060,Leadership,webpage,2020-06-22 07:12:24.303100,1592824344.3031,1592414832.295600,,[],15,False,False,True,
User_0102,Leadership,webpage,2020-06-22 07:24:44.303300,1592825084.3033,1592414832.295600,,[],120,False,False,True,
User_0100,Leadership,webpage,2020-04-16 03:56:45.210500,1587023805.2105,1586956782.169300,,[],13,True,False,True,User_0155
User_0060,Leadership,webpage,2020-04-16 05:19:33.211800,1587028773.2118,1587028773.211800,,[],26,False,True,True,
User_0102,Leadership,webpage,2020-04-16 05:21:12.211900,1587028872.2119,1587028773.211800,,[],10,False,False,True,
User_0102,Leadership,webpage,2020-04-16 05:21:55.212100,1587028915.2121,1587028773.211800,,[],6,False,True,True,
User_0244,Member,webpage,2020-04-16 08:50:19.215200,1587041419.2152,,,[],20,False,False,True,
User_0244,Member,webpage,2020-04-16 08:52:51.216700,1587041571.2167,,,"[{""name"": ""+1"", ""users"": [""User_0060"", ""User_0038""], ""count"": 2}]",8,False,True,True,
User_0226,Member,webpage,2020-04-16 09:34:55.217200,1587044095.2172,1587028773.211800,thread_broadcast,"[{""name"": ""+1"", ""users"": [""User_0038"", ""User_0136"", ""User_0244"", ""User_0060"", ""User_0030""], ""count"": 5}]",93,False,True,True,
User_0244,Member,webpage,2020-04-16 10:51:24.218500,1587048684.2185,,,[],2,False,False,True,
User_0136,Member,webpage,2020-04-16 15:41:13.218900,1587066073.2189,,,"[{""name"": ""+1"", ""users"": [""User_0030"", ""User_0060""], ""count"": 2}]",43,False,False,True,
User_0060,Leadership,webpage,2020-08-20 16:12:32.000900,1597954352.0009,1597954352.000900,,"[{""name"": ""+1"", ""users"": [""User_0226""], ""count"": 1}]",33,True,False,True,"User_0030,User_0226"
User_0100,Leadership,webpage,2020-07-31 04:17:55.322900,1596183475.3229,1595914794.321300,,[],20,False,False,True,
User_0060,Leadership,webpage,2021-10-18 07:54:58.002600,1634558098.0026,,,"[{""name"": ""pray"", ""users"": [""User_0003""], ""count"": 1}]",25,True,True,True,User_0030
User_0100,Leadership,webpage,2020-05-04 12:12:13.284000,1588608733.284,1588608733.284000,,[],56,True,False,True,"User_0030,User_0226"
User_0100,Leadership,webpage,2020-05-04 12:15:03.284100,1588608903.2841,1588608733.284000,,[],23,False,False,True,
User_0030,Member,webpage,2020-05-04 12:16:15.284400,1588608975.2844,1588608733.284000,,[],7,False,False,True,
User_0060,Leadership,webpage,2020-05-04 15:57:56.284700,1588622276.2847,,,[],1,False,True,True,
User_0102,Leadership,webpage,2020-06-05 08:18:51.292800,1591359531.2928,1590526507.288600,,[],25,True,False,True,User_0226
User_0226,Member,webpage,2020-06-05 09:06:27.293000,1591362387.293,1590526507.288600,,[],120,False,True,True,
User_0060,Leadership,webpage,2020-06-05 09:23:55.293400,1591363435.2934,1590526507.288600,,"[{""name"": ""+1"", ""users"": [""User_0102""], ""count"": 1}]",40,True,False,True,"User_0226,User_0102"
User_0246,Member,webpage,2020-04-02 12:44:18.026900,1585845858.0269,,channel_join,[],5,True,False,True,User_0246
User_0030,Member,webpage,2020-04-02 16:57:35.027200,1585861055.0272,,,[],25,False,True,True,
User_0244,Member,webpage,2020-04-02 17:52:31.027500,1585864351.0275,,channel_join,[],5,True,False,True,User_0244
User_0100,Leadership,webpage,2020-04-03 01:28:04.027800,1585891684.0278,1585590032.011000,,[],7,False,False,True,
User_0100,Leadership,webpage,2020-04-03 01:28:14.028000,1585891694.028,1585590032.011000,,[],3,False,False,True,
